iter	MultiClass
0	1.049678072
1	1.009835815
2	0.9762746002
3	0.9490051811
4	0.92303116
5	0.9012928758
6	0.8811450256
7	0.8658841231
8	0.8517965401
9	0.8393104052
10	0.8277040436
11	0.8169216118
12	0.8068747582
13	0.7914459584
14	0.7820751083
15	0.7738574678
16	0.7653714396
17	0.7553906027
18	0.7477500007
19	0.7417224739
20	0.7326617817
21	0.7246210482
22	0.718903696
23	0.7133966464
24	0.7089574623
25	0.7034970815
26	0.6993732157
27	0.692128591
28	0.6850568728
29	0.6806117623
30	0.6754464088
31	0.6717843804
32	0.6682002456
33	0.6649836045
34	0.6602258171
35	0.6573271864
36	0.6526654558
37	0.6486885919
38	0.6458301804
39	0.6427579041
40	0.640456272
41	0.6381036259
42	0.6358466492
43	0.6320604257
44	0.6291639761
45	0.6248553515
46	0.6221231645
47	0.6203891347
48	0.6177385502
49	0.6139481764
50	0.6117598093
51	0.6086534793
52	0.6066937499
53	0.6042641079
54	0.6017886118
55	0.5988317102
56	0.5951932225
57	0.5935289176
58	0.5915101564
59	0.5890734724
60	0.5873310164
61	0.5855270757
62	0.5821430683
63	0.5806182168
64	0.5786420521
65	0.5774688241
66	0.5756588449
67	0.5743117764
68	0.5728200116
69	0.5705096154
70	0.5679339821
71	0.5661202339
72	0.5650179038
73	0.5628232893
74	0.5609634967
75	0.558616531
76	0.5573595069
77	0.5557183528
78	0.5537190865
79	0.5520908131
80	0.549703453
81	0.5474130905
82	0.54628457
83	0.5450292136
84	0.5429764362
85	0.5421143296
86	0.5408512499
87	0.5396216082
88	0.5377025193
89	0.5363925047
90	0.5352282122
91	0.5343182259
92	0.5328838468
93	0.5316029312
94	0.5305110743
95	0.5295379107
96	0.5286653376
97	0.5267809795
98	0.5253852487
99	0.5234663535
